DATE,CPALTT01USM661S
1988-01-01,53.1974657827938
1988-02-01,53.2891855513848
1988-03-01,53.4267652042714
1988-04-01,53.74778439434
1988-05-01,53.8853640472265
1988-06-01,54.114663468704
1988-07-01,54.3439628901816
1988-08-01,54.5732623116592
1988-09-01,54.8025617331367
1988-10-01,54.9860012703188
1988-11-01,55.1694408075008
1988-12-01,55.3528803446829
1989-01-01,55.5821797661604
1989-02-01,55.7656193033425
1989-03-01,56.0407786091156
1989-04-01,56.4535175677752
1989-05-01,56.7286768735482
1989-06-01,56.9121164107303
1989-07-01,57.0955559479123
1989-08-01,57.0955559479123
1989-09-01,57.2331356007989
1989-10-01,57.5082949065719
1989-11-01,57.7375943280495
1989-12-01,57.9210338652315
1990-01-01,58.4713524767777
1990-02-01,58.7006518982552
1990-03-01,58.9758112040283
1990-04-01,59.1133908569149
1990-05-01,59.2051106255059
1990-06-01,59.57198969987
1990-07-01,59.847149005643
1990-08-01,60.3516077328937
1990-09-01,60.7643466915533
1990-10-01,61.1770856502129
1990-11-01,61.3146653030994
1990-12-01,61.543964724577
1991-01-01,61.7732641460545
1991-02-01,61.8191240303501
1991-03-01,61.8191240303501
1991-04-01,61.9567036832366
1991-05-01,62.1860031047142
1991-06-01,62.3694426418962
1991-07-01,62.4611624104872
1991-08-01,62.6446019476693
1991-09-01,62.8280414848513
1991-10-01,62.9197612534423
1991-11-01,63.1949205592154
1991-12-01,63.3783600963975
1992-01-01,63.424219980693
1992-02-01,63.5617996335795
1992-03-01,63.7910990550571
1992-04-01,63.9286787079436
1992-05-01,64.0662583608301
1992-06-01,64.2496978980122
1992-07-01,64.4331374351942
1992-08-01,64.5707170880808
1992-09-01,64.7082967409673
1992-10-01,64.9834560467404
1992-11-01,65.1668955839224
1992-12-01,65.2586153525134
1993-01-01,65.487914773991
1993-02-01,65.6254944268776
1993-03-01,65.7172141954686
1993-04-01,65.9465136169461
1993-05-01,66.1299531541282
1993-06-01,66.1758130384237
1993-07-01,66.2675328070147
1993-08-01,66.4051124599013
1993-09-01,66.4968322284923
1993-10-01,66.7719915342653
1993-11-01,66.9554310714474
1993-12-01,67.0930107243339
1994-01-01,67.0930107243339
1994-02-01,67.276450261516
1994-03-01,67.459889798698
1994-04-01,67.5057496829935
1994-05-01,67.6433293358801
1994-06-01,67.8267688730621
1994-07-01,68.0560682945397
1994-08-01,68.3312276003127
1994-09-01,68.4688072531993
1994-10-01,68.5146671374948
1994-11-01,68.6981066746768
1994-12-01,68.8356863275634
1995-01-01,69.0191258647454
1995-02-01,69.2025654019275
1995-03-01,69.340145054814
1995-04-01,69.6153043605871
1995-05-01,69.7528840134736
1995-06-01,69.8904636663602
1995-07-01,69.9821834349512
1995-08-01,70.1197630878377
1995-09-01,70.2114828564287
1995-10-01,70.3949223936108
1995-11-01,70.4866421622018
1995-12-01,70.5783619307928
1996-01-01,70.9452410051569
1996-02-01,71.0828206580434
1996-03-01,71.312120079521
1996-04-01,71.5872793852941
1996-05-01,71.7248590381806
1996-06-01,71.8624386910672
1996-07-01,72.0000183439537
1996-08-01,72.0917381125447
1996-09-01,72.3210375340223
1996-10-01,72.5503369554998
1996-11-01,72.7796363769774
1996-12-01,72.9630759141594
1997-01-01,73.100655567046
1997-02-01,73.2382352199325
1997-03-01,73.284095104228
1997-04-01,73.3299549885236
1997-05-01,73.3299549885236
1997-06-01,73.4675346414101
1997-07-01,73.5592544100011
1997-08-01,73.7426939471832
1997-09-01,73.9261334843652
1997-10-01,74.0637131372517
1997-11-01,74.1554329058428
1997-12-01,74.2012927901383
1998-01-01,74.2930125587293
1998-02-01,74.2930125587293
1998-03-01,74.2930125587293
1998-04-01,74.3847323273203
1998-05-01,74.5681718645024
1998-06-01,74.6598916330934
1998-07-01,74.8433311702754
1998-08-01,74.9350509388665
1998-09-01,74.980910823162
1998-10-01,75.164350360344
1998-11-01,75.256070128935
1998-12-01,75.3936497818216
1999-01-01,75.5312294347081
1999-02-01,75.5312294347081
1999-03-01,75.5770893190036
